Questions,Answers,keywards,MainQuestion
कठिन सवाल, माफ करना मुझे इस सवाल का जवाब देने पे कठिनाई आ रही हैं, मुश्कील,कठिन सवाल
महाविद्यालय कॉलेज का पता अड्रेस क्या हैं college ka address kya hain what is address of the college,डॉ. के.एम. वासुदेवन पिल्लै परिसर प्लॉट नंबर 10 सेक्टर 16 न्यू पनवेल नवी मुंबई मुंबई - 410 206 महाराष्ट्र भारत,अड्रेस ऑफिस,महाविद्यालय का पता अड्रेस क्या हैं?
महाविद्यालय कॉलेज का फोन टेलीफोन नंबर क्या हैं college ka telephone number kya hain what is telephone number of the college,02227456030,दूरभाष दूरध्वनी,महाविद्यालय का टेलीफोन नंबर क्या हैं?
महाविद्यालय कॉलेज कब स्थापित स्थापना हुआ था college kab found hua tha when was the college was founded,१९९९,स्थापना,महाविद्यालय कब स्थापित स्थापना हुआ था ?
कॉलेज कितना बड़ा है college dikhne me kaisa hain how the college look like,कॉलेज प्राकृतिक सुंदरता से घिरी 10 एकड़ भूमि में स्थित है,,कॉलेज कितना बड़ा है
इंजीनियरिगं में कितने विभाग ब्रैंचेस हैं engineering me kitne branches hain how many branches are in engineering deparment, 6 विभाग हैं,,इंजीनियरिगं में कितने विभाग ब्रैंचेस हैं
दिन मे कॉलेज कितने बजे कब तक होता है din me college kab kitne baje tak hota hain when the college time end in day schedule, शाम ४ या ५ या ६ बजे तक राहत हैं,,दिन मे कॉलेज कितने बजे तक होता है?
लेक्चर व्याख्यान कितने घंटे चलता है lectures kitne ghante ka hota hain what is lenghth time of the period of one lecture, १ घंटा लगभग,,व्याख्यान कितने घंटे चलता है?
प्रैक्टिकल लैब कितने घंटे चलता है practical practicals lab labs kitne time ghante ka hota hain what is period time for practicals, २ घंटा लगभग,,प्रैक्टिकल कितने घंटे चलता है?
कॉलेज कैंपस में वाईफाई हैं क्या wifi hain kya college campus me is there any wifi in college campus,हा |हमारे पास एक मुफ्त और सुरक्षित वाईफाई कनेक्शन है,,कैंपस में वाईफाई हैं या?
महाविद्यालय कॉलेज के शिक्षक कैसे हैं teachers teacher kaise hain college ke what about teachers in the college,सब बहुत ही अनुभव वाले शिक्षक हैं(लगभग ५-३० साल का अनुभव ),,महाविद्यालय के शिक्षक कैसे हैं
प्रिसीपल का नाम कौन क्या हैं principal ka naam kya hain what is name of the principle, डॉ संदीप जोशी,,प्रिसीपल का नाम क्या हैं?
कॉलेज के सबसे अच्छे शिक्षक कौन हैं who is the best teacher sabse achche teacher kaun hain,मधुरा मैडम,,सबसे अच्छे शिक्षक कौन हैं?
लैब के वाईफाई का पासवर्ड पिन क्या हैं lab ke wifi ka password pin kya hain what is the password pin of the wifi,drkm123,,वाईफाई का पासवर्ड पिन क्या हैं?
